,model,mae,rmse,mse,r2
0,Linear Regression,3136.5888523570025,4390.787122115451,19279011.551734887,0.87668336477781
1,Ridge Regression,3136.8508785146573,4390.998781628159,19280870.300259978,0.8766714754434827
2,Random Forest,2067.614196124213,3091.5288640813096,9557550.717447873,0.9388659012793091
3,Decision Tree,2530.812122148433,3736.9399591893753,13964720.258586291,0.9106757984201195
4,Gradient Boosting,3071.5746962054923,4282.480810858958,18339641.8953752,0.8826919666680701
